t,tr_gauss_nll_loss_train,t_val,tr_gauss_nll_loss_val
0.0,0.531569242477417,,
1.0,0.5980022549629211,,
2.0,0.49210554361343384,,
3.0,0.4367050528526306,,
4.0,0.713225245475769,,
5.0,0.6317241787910461,,
6.0,0.5985259413719177,,
7.0,0.6985805034637451,,
8.0,0.6795996427536011,,
9.0,0.6340320110321045,,
10.0,0.3820462226867676,,
11.0,0.5175866484642029,,
12.0,0.5352269411087036,,
13.0,0.5239690542221069,,
14.0,0.3286501169204712,,
15.0,0.4432715177536011,,
16.0,0.39234429597854614,,
17.0,0.6082963943481445,,
18.0,0.431044340133667,,
19.0,0.5014632940292358,,
20.0,0.3975135087966919,,
21.0,0.4650322496891022,,
22.0,0.48452532291412354,,
23.0,0.45324140787124634,,
24.0,0.3823833167552948,,
25.0,0.5400643348693848,,
26.0,0.3900841176509857,,
27.0,0.38019388914108276,,
28.0,0.35145971179008484,,
29.0,0.3608272671699524,,
30.0,0.4642829895019531,,
31.0,0.4346320629119873,,
32.0,0.5040723085403442,,
33.0,0.4754408597946167,,
34.0,0.45228636264801025,,
35.0,0.39314305782318115,,
36.0,0.5383781790733337,,
37.0,0.41226726770401,,
38.0,0.3482826352119446,,
39.0,0.4397040605545044,,
40.0,0.42154860496520996,,
41.0,0.41260969638824463,,
42.0,0.3565443158149719,,
43.0,0.5757994651794434,,
44.0,0.32713353633880615,,
45.0,0.4226432144641876,,
46.0,0.40254566073417664,,
47.0,0.30291375517845154,,
48.0,0.5230855941772461,,
49.0,0.3792472779750824,,
50.0,0.5851348042488098,,
51.0,0.43059343099594116,,
52.0,0.29733216762542725,,
53.0,0.5820647478103638,,
54.0,0.412539005279541,,
55.0,0.4492984414100647,,
56.0,0.41492000222206116,,
57.0,0.2896203398704529,,
58.0,0.3177182972431183,,
59.0,0.3409666121006012,,
60.0,0.5314960479736328,,
61.0,0.3993855118751526,,
62.0,0.3912096619606018,,
63.0,0.4694981575012207,,
64.0,0.4323091506958008,,
65.0,0.543175220489502,,
66.0,0.2908000349998474,,
67.0,0.5917819142341614,,
68.0,0.6195400953292847,,
69.0,0.43836531043052673,,
70.0,0.5711041688919067,,
71.0,0.39373278617858887,,
72.0,0.299927294254303,,
,0.5679363182612828,74.0,0.3487893839085356
74.0,0.3397141098976135,,
75.0,0.3915784955024719,,
76.0,0.3863864541053772,,
77.0,0.2796507179737091,,
78.0,0.5258702635765076,,
79.0,0.6084483861923218,,
80.0,0.6411572694778442,,
81.0,0.5995837450027466,,
82.0,0.679655909538269,,
83.0,0.6169761419296265,,
84.0,0.3965769410133362,,
85.0,0.598096489906311,,
86.0,0.5011566281318665,,
87.0,0.6151742339134216,,
88.0,0.39946553111076355,,
89.0,0.5079595446586609,,
90.0,0.41777777671813965,,
91.0,0.6469703316688538,,
92.0,0.43475645780563354,,
93.0,0.5640379190444946,,
94.0,0.3939250707626343,,
95.0,0.46530765295028687,,
96.0,0.5399168729782104,,
97.0,0.6579554080963135,,
98.0,0.5452504754066467,,
99.0,0.49275198578834534,,
100.0,0.3314289450645447,,
101.0,0.3934403955936432,,
102.0,0.37195250391960144,,
103.0,0.3652759790420532,,
104.0,0.375267893075943,,
105.0,0.36242392659187317,,
106.0,0.431201696395874,,
107.0,0.4680411219596863,,
108.0,0.38591039180755615,,
109.0,0.4003722667694092,,
110.0,0.4963158071041107,,
111.0,0.3856031894683838,,
112.0,0.3240518569946289,,
113.0,0.40361157059669495,,
114.0,0.39833176136016846,,
115.0,0.39877524971961975,,
116.0,0.3066062927246094,,
117.0,0.533953070640564,,
118.0,0.37693342566490173,,
119.0,0.4931992292404175,,
120.0,0.5137041211128235,,
121.0,0.30046799778938293,,
122.0,0.5413077473640442,,
123.0,0.3565695583820343,,
124.0,0.6189225912094116,,
125.0,0.38641899824142456,,
126.0,0.23630213737487793,,
127.0,0.565581202507019,,
128.0,0.31047290563583374,,
129.0,0.38598549365997314,,
130.0,0.4038115441799164,,
131.0,0.27892252802848816,,
132.0,0.2647444009780884,,
133.0,0.35799404978752136,,
134.0,0.49054431915283203,,
135.0,0.39931708574295044,,
136.0,0.40931880474090576,,
137.0,0.35935282707214355,,
138.0,0.3559361696243286,,
139.0,0.5129162073135376,,
140.0,0.2917417585849762,,
141.0,0.427884042263031,,
142.0,0.5080229640007019,,
143.0,0.34589219093322754,,
144.0,0.503638744354248,,
145.0,0.33972495794296265,,
146.0,0.28709524869918823,,
,0.4414759022848947,148.0,0.32756208135726606
148.0,0.3262156844139099,,
149.0,0.3320196568965912,,
150.0,0.3200572729110718,,
151.0,0.378136545419693,,
152.0,0.8956111669540405,,
153.0,0.7315508723258972,,
