StudentUpdateStep,SGLDIteration,Loss,w0_Bias,grad_w0,w1_Weight,grad_w1
0,100,8.540384e-01,1.908983e-02,-1.786343e+00,8.570360e-01,-1.420605e+00
0,100,1.122247e+01,-1.435453e-01,-5.034190e+00,5.669833e-01,-1.104657e+01
20,500,3.063001e-01,2.113899e-01,-1.093623e+00,1.047964e+00,-7.680093e-01
20,500,5.563416e+00,5.008651e-02,-3.297747e+00,7.617972e-01,-7.839687e+00
40,900,6.843895e-02,3.724776e-01,-5.231249e-01,1.193262e+00,-2.895603e-01
40,900,2.829782e+00,2.180017e-01,-1.985078e+00,9.367110e-01,-5.640994e+00
