t,tr_nll,st_nll
101,0.38946270837783814,2.2513519271850586
201,0.2838371401548386,2.1834051521301268
301,0.2611602079927921,2.106606483840942
401,0.22271996824145318,2.0277790355682375
501,0.212364411765337,1.9392576210021972
601,0.20138589636683463,1.8436966007232667
701,0.18568776648342608,1.7397668365478516
801,0.18772640408575536,1.6289874393463135
901,0.19892262874543667,1.5125026599884033
1001,0.1676878187701106,1.3988029249191285
1101,0.19790214196741582,1.2930436855316163
1201,0.16852613788098098,1.203338418006897
1301,0.17567466754615307,1.1238495758056641
1401,0.17843251428306103,1.0484346021652222
1501,0.1678605669669807,0.9791033585548401
1601,0.17392812065929175,0.9226578385353088
1701,0.16906194578409195,0.9017838159561157
1801,0.17356968277692794,0.8637927983283996
1901,0.1752814563781023,0.8121835102081298
2001,0.16697131554707884,0.7629117681503296
2101,0.17475874636694788,0.7233586191177368
2201,0.1701777737751603,0.7087273719787598
2301,0.16976850368231536,0.7041852466583252
2401,0.15532606861405074,0.685868502998352
2501,0.15543856232259423,0.6402095645904541
2601,0.16795814119800925,0.6056433080673218
2701,0.1627861135110259,0.5754953758239746
2801,0.1727942127712071,0.5538638129234313
2901,0.1696654215503484,0.5554105714797973
3001,0.15806614684574305,0.5638655861854553
3101,0.1714361417904496,0.5742813845157624
3201,0.16852670150175691,0.5839434398651123
3301,0.15467314013577999,0.5838053689479827
3401,0.16212667570654302,0.5718802248001099
3501,0.15347128029949964,0.5421011291027069
3601,0.16692409899309277,0.5120565417289734
3701,0.16746599100381135,0.49549678864479063
3801,0.15975131598226727,0.4857449133396149
3901,0.1620423659130931,0.47962911891937254
4001,0.15698895172327756,0.47717137088775635
4101,0.17048355409950017,0.4760946807861328
4201,0.1581614808164537,0.4643355782032013
4301,0.16876034069098533,0.4553619035720825
4401,0.16437875286862255,0.4484229051589966
4501,0.17058620634898544,0.4395013961791992
4601,0.16956905751898885,0.43840468330383303
4701,0.16630256458446382,0.43531995372772214
4801,0.16493889874592424,0.43220260787010195
4901,0.16524162948355078,0.4287302734851837
5001,0.15794244972802698,0.42502580814361574
5101,0.1630404845647514,0.41805573716163635
5201,0.16408661457616835,0.4065576852798462
5301,0.16477979386299849,0.3993453510284424
5401,0.16878931069988756,0.40048933107852935
5501,0.16928027064800263,0.4029131299972534
5601,0.17288250885605813,0.40530565655231476
5701,0.16432696514055134,0.3998490241289139
5801,0.16820923170000315,0.3940509437322617
5901,0.1808143269367516,0.39184861912727353
6001,0.17303634142372756,0.3902383117675781
6101,0.16877337974607945,0.3892031465291977
6201,0.18200844484306872,0.38886147603988647
6301,0.18158895612824708,0.3841758948802948
6401,0.17919708684179933,0.37654910624027255
6501,0.1729967363447882,0.3677925302743912
6601,0.1736036532919854,0.3592227027893066
6701,0.17051885189553723,0.3531065527915955
6801,0.17251826782403515,0.3496222865104675
6901,0.1721787591330707,0.353523841714859
7001,0.1665857004294172,0.3617100018978119
7101,0.1697758182844147,0.3732104508399963
7201,0.1751621377121657,0.37555276675224303
7301,0.1910756694043055,0.36697402341365815
7401,0.17400867281164975,0.3559480320930481
7501,0.1811151509432122,0.3418972467899323
7601,0.169597018067725,0.33185364174842835
7701,0.1679488363051787,0.32711507781744004
7801,0.16845048944177107,0.3266563068151474
7901,0.16858940639859066,0.3289283046841621
8001,0.16427171355560422,0.3331846166968346
8101,0.17972481498355045,0.3360586866617203
8201,0.18181672914531083,0.3397303853392601
8301,0.1935314065016806,0.339439084815979
8401,0.19170350198298694,0.3393367139577866
8501,0.18619440723620356,0.3410622451066971
8601,0.18412864405475557,0.3454486206293106
8701,0.18500462466794998,0.34712604746818543
8801,0.18424040688164534,0.3442868561029434
8901,0.1818065003797412,0.34239427173137665
9001,0.18508715912811458,0.34099798457622527
9101,0.19253273005075752,0.3378261072874069
9201,0.19557071054279804,0.33888486642837523
9301,0.18132941180728376,0.3387098470449448
9401,0.18811637321151792,0.3395457508802414
9501,0.19201806609136984,0.3414136940717697
9601,0.18632375774700194,0.3480257861375809
9701,0.1929946299508214,0.3497403990507126
9801,0.192407766099507,0.352984583568573
9901,0.18917563696235884,0.3482680838823318
10001,0.1858313658511266,0.3314687036514282
10101,0.19848483548928053,0.32293709211349486
10201,0.19008791270032524,0.3230216032266617
10301,0.1972719292499125,0.32793049409389496
10401,0.20019333207979798,0.33728219106197355
10501,0.1989037502076477,0.3432595321416855
10601,0.19255046880487353,0.34184687461853025
10701,0.20156043088659645,0.3385232561826706
10801,0.19683600205779075,0.33004297926425935
10901,0.1943686337325722,0.3214876258611679
11001,0.21371214736290275,0.31582600784301756
11101,0.2064523920951411,0.31414527854919433
11201,0.20602124935388566,0.3155107537031174
11301,0.1952481079870835,0.3167654152393341
11401,0.19445960976071655,0.3158615930557251
11501,0.20464903344735502,0.31244413397312165
11601,0.2012683042012155,0.30631267733573914
11701,0.195164714140445,0.30341827204227445
11801,0.197873763230443,0.3002384737253189
11901,0.20097835000734776,0.30058275970220566
12001,0.20789588890057056,0.3026463928937912
